Id	Code	PD code	Accepted name	Genus
8	ABI	Abies	Abies spp.	Abies
1	ABIALB	Abies_alba	Abies albaÊMill.	Abies
469	ABIBOR	Abies_nordmanniana_bornmuelleriana	Abies nordmanniana Spach subsp. bornmuelleriana (Mattf.) Coode & Cullen	Abies
388	ABICEP	Abies_cephalonica	Abies cephalonica Loudon	Abies
2	ABICON	Abies_concolor	Abies concolor (Gordon) Lindl. ex Hildebr.	Abies
3	ABIGRA	Abies_grandis	Abies grandis (D.Don) Lindl.	Abies
5	ABINOR	Abies_nordmanniana	Abies nordmanniana (Steven) Spach	Abies
6	ABIPIN	Abies_pinsapo	Abies pinsapoÊBoiss.	Abies
7	ABIPRO	Abies_procera	Abies proceraÊRehder	Abies
9	ABIVEI	Abies_veitchii	Abies veitchii Lindl.	Abies
12	ACA	Acacia	Acacia spp.	Acacia
10	ACADEA	Acacia_dealbata	Acacia dealbata Link	Acacia
11	ACAMEL	Acacia_melanoxylon	Acacia melanoxylon R.Br.	Acacia
14	ACECAM	Acer_campestre	Acer campestreÊL.	Acer
15	ACEMON	Acer_monspessulanum	Acer monspessulanum L.	Acer
16	ACENEG	Acer_negundo	Acer negundoÊL.	Acer
17	ACEOPA	Acer_opalus	Acer opalus Mill.	Acer
18	ACEPLA	Acer_platanoides	Acer platanoides L.	Acer
19	ACEPSE	Acer_pseudoplatanus	Acer pseudoplatanus L.	Acer
389	ACETAT	Acer_tataricum	Acer tataricum L.	Acer
24	AESHIP	Aesculus_hippocastanum	Aesculus hippocastanumÊL.	Aesculus
25	AILALT	Ailanthus_altissima	Ailanthus altissimaÊ(Mill.) Swingle	Ailanthus
26	ALN	Alnus	Alnus spp.	Alnus
450	ALNCOR	Alnus_cordata	Alnus cordataÊ(Loisel.) Loisel.	Alnus
27	ALNGLU	Alnus_glutinosa	Alnus glutinosaÊ(L.) Gaertn.	Alnus
28	ALNINC	Alnus_incana	Alnus incanaÊ(L.) Moench	Alnus
29	ALNVIR	Alnus_viridis	Alnus viridisÊ(Chaix) DC.	Alnus
33	APOBAR	Apollonias_barbujana	Apollonias barbujana (Cav.) A.Br.	Apollonias
34	ARBCAN	Arbutus_canariensis	Arbutus canariensis Veill.	Arbutus
35	ARBUNE	Arbutus_unedo	Arbutus unedoÊL.	Arbutus
48	BET	Betula	Betula spp.	Betula
46	BETPEN	Betula_pendula	Betula pendulaÊRoth	Betula
47	BETPUB	Betula_pubescens	Betula pubescensÊEhrh.	Betula
506	BUX	Buxus	Buxus	Buxus
54	BUXSEM	Buxus_sempervirens	Buxus sempervirensÊL.	Buxus
57	CARBET	Carpinus_betulus	Carpinus betulus L.	Carpinus
393	CARORI	Carpinus_orientalis	Carpinus orientalis?Mill.	Carpinus
58	CASSAT	Castanea_sativa	Castanea sativa Mill.	Castanea
59	CEDATL	Cedrus_atlantica	Cedrus atlantica (Endl.) Carrière	Cedrus
60	CEDDEO	Cedrus_deodara	Cedrus deodara (D.Don) G.Don	Cedrus
61	CEDLIB	Cedrus_libani	Cedrus libani A.Rich.	Cedrus
507	CEL	Celtis	Celtis	Celtis
62	CELAUS	Celtis_australis	Celtis australis L.	Celtis
394	CERCSIL	Cercis_siliquastrum	Cercis siliquastrum?L.	Cercis
63	CERSIL	Ceratonia_siliqua	Ceratonia siliqua L.	Ceratonia
64	CHALAW	Chamaecyparis_lawsoniana	Chamaecyparis lawsoniana (A.Murray bis) Parl.	Chamaecyparis
508	CIT	Citrus	Citrus	Citrus
91	CORAVE	Corylus_avellana	Corylus avellana L.	Corylus
92	CORCOL	Corylus_colurna	Corylus colurna L.	Corylus
396	CORMAS	Cornus_mas	Cornus mas L.	Cornus
85	CORSAN	Cornus_sanguinea	Cornus sanguinea L.	Cornus
98	CRA	Crataegus	Crataegus spp.	Crataegus
94	CRAAZA	Crataegus_azarolus	Crataegus azarolus L.	Crataegus
95	CRALAC	Crataegus_laciniata	Crataegus laciniata Ucria	Crataegus
96	CRALAE	Crataegus_laevigata	Crataegus laevigata DC.	Crataegus
97	CRAMON	Crataegus_monogyna	Crataegus monogyna Jacq.	Crataegus
451	CRYJAP	Cryptomeria_japonica	Cryptomeria japonicaÊ(L.f.) D.Don	Cryptomeria
99	CUPARI	Cupressus_arizonica	Cupressus arizonica Greene	Cupressus
100	CUPLUS	Cupressus_lusitanica	Cupressus lusitanica Mill.	Cupressus
101	CUPMAC	Cupressus_macrocarpa	Cupressus macrocarpa Hartw.	Cupressus
102	CUPSEM	Cupressus_sempervirens	Cupressus sempervirensÊL.	Cupressus
398	CYDOBL	Cydonia_oblonga	Cydonia oblonga?Mill.	Cydonia
399	ELAANG	Elaeagnus_angustifolia	Elaeagnus angustifolia?L.	Elaeagnus
120	ERIARB	Erica_arborea	Erica arborea L.	Erica
124	ERISCO	Erica_scoparia	Erica scoparia L.	Erica
504	EUC	Eucalyptus	Eucalyptus	Eucalyptus
129	EUCCAM	Eucalyptus_camaldulensis	Eucalyptus camaldulensis Dehnh.	Eucalyptus
130	EUCGLO	Eucalyptus_globulus	Eucalyptus globulus Labill.	Eucalyptus
131	EUCGOM	Eucalyptus_gomphocephalus	Eucalyptus gomphocephalus DC.	Eucalyptus
132	EUCNIT	Eucalyptus_nitens	Eucalyptus nitens (H.Deane & Maiden) Maiden	Eucalyptus
133	EUCVIM	Eucalyptus_viminalis	Eucalyptus viminalis Labill.	Eucalyptus
134	EUOEUR	Euonymus_europaeus	Euonymus europaeus L.	Euonymus
139	FAGSYL	Fagus_sylvatica	Fagus sylvatica L.	Fagus
402	FAGSYLORI	Fagus_sylvatica_orientalis	Fagus sylvatica?L. subsp.?orientalis?(Lipsky) Greuter & Burdet	Fagus
140	FICCAR	Ficus_carica	Ficus carica L.	Ficus
141	FRAALN	Frangula_alnus	Frangula alnusÊMill.	Frangula
142	FRAAME	Fraxinus_americana	Fraxinus americana L.	Fraxinus
143	FRAANG	Fraxinus_angustifolia	Fraxinus angustifoliaÊVahl	Fraxinus
144	FRAEXC	Fraxinus_excelsior	Fraxinus excelsior L.	Fraxinus
145	FRAORN	Fraxinus_ornus	Fraxinus ornus L.	Fraxinus
452	FRAOXY	Fraxinus_angustifolia_oxycarpa	Fraxinus angustifoliaÊVahl subsp.ÊoxycarpaÊ(M.Bieb. ex Willd.) Franco & Rocha Afonso	Fraxinus
405	FRAPEN	Fraxinus_pennsylvanica	Fraxinus pennsylvanica?Marshall	Fraxinus
154	GLETRI	Gleditsia_triacanthos	Gleditsia triacanthos L.	Gleditsia
158	HEBBAH	Heberdenia_bahamensis	Heberdenia bahamensis (Gaertn.) Sprague	Heberdenia
165	ILEAQU	Ilex_aquifolium	Ilex aquifolium L.	Ilex
